Student ID,Student Name,Email,Mobile,P-1,P-2,P-3,P-4,P-5,P_level,C-1,C-2,C-3,C-4,C-5,C_level,M-1,M-2,M-3,M-4,M-5,M_level
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,45,60,33,40,49,0,60,45,83,89,76,1,60,70,68,80,77,1
16CS05,Gourav,abhishekone05@gmail.com,8877557744,40,55,70,65,80,1,43,35,38,41,49,0,47,49,55,30,33,0
16CS06,Hargi,abhishekone05@gmail.com,6789054321,50,60,86,30,17,0,45,60,33,40,49,0,70,85,30,94,97,1
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,80,90,85,75,70,1,40,55,70,65,80,1,33,34,40,50,49,0
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,35,35,40,30,20,0,60,40,70,80,76,1,45,30,79,30,25,0
16CS09,Avinash,abhishekone05@gmail.com,9870298487,30,40,60,45,25,0,40,45,60,70,99,1,57,60,70,30,20,0
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,85,83,90,93,75,1,33,37,40,44,43,0,55,45,65,90,95,1
16CS01,Abhi,abhishekone05@gmail.com,9799584969,43,35,38,41,49,0,70,85,30,94,97,1,30,70,60,30,50,0
16CS02,Ajay,abhishekone05@gmail.com,9001454961,45,60,33,40,49,0,33,34,40,50,49,0,60,40,88,30,65,1
16CS03,Akshay,abhishekone05@gmail.com,9001234567,40,55,70,65,80,1,45,30,79,30,25,0,80,40,67,55,90,1
16CS04,Dhruv,abhishekone05@gmail.com,9876543212,60,40,70,80,76,1,90,60,40,55,70,1,40,69,89,70,40,1
16CS05,Gourav,abhishekone05@gmail.com,8877557744,40,45,60,70,99,1,30,70,60,30,50,0,60,40,34,30,43,0
16CS06,Hargi,abhishekone05@gmail.com,6789054321,33,37,40,44,43,0,60,40,88,30,65,1,35,60,40,30,50,0
16CS07,Abhishek,abhishekone05@gmail.com,6698765432,50,60,86,67,65,1,80,40,67,55,90,1,88,64,50,90,75,1
16CS08,Sourabh,abhishekone05@gmail.com,7723456789,50,60,86,30,17,0,40,69,89,70,40,1,50,50,30,70,55,1
16CS09,Avinash,abhishekone05@gmail.com,9870298487,80,90,85,75,70,1,60,40,34,30,43,0,39,48,40,60,40,0
16CS10,Dheeraj,abhishekone05@gmail.com,8901234567,40,55,70,65,80,1,45,30,79,30,25,0,80,40,,,,
